ダウンロードした時刻：2023/06/17 22:36:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,気仙沼,気仙沼,気仙沼,築館,築館,築館,川渡,川渡,川渡,志津川,志津川,志津川,米山,米山,米山,古川,古川,古川,大衡,大衡,大衡,石巻,石巻,石巻,鹿島台,鹿島台,鹿島台,塩釜,塩釜,塩釜,新川,新川,新川,仙台,仙台,仙台,白石,白石,白石,亘理,亘理,亘理,丸森,丸森,丸森
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,0.4,8,1,-0.4,8,1,-0.9,8,1,0.7,8,1,-0.2,8,1,0.2,5,1,-0.3,8,1,0.8,8,1,0,8,1,0.6,8,1,-1.4,8,1,1.4,8,1,1.1,8,1,1.7,5,1,1.5,5,1
Feb-80,-1.7,8,1,-2.7,8,1,-2.5,8,1,-1.1,8,1,-2.3,8,1,-2,8,1,-1.7,8,1,-0.9,8,1,-1.8,8,1,-1.1,8,1,-2.8,8,1,-0.2,8,1,-0.8,8,1,0.2,8,1,-0.1,8,1
Mar-80,2.4,8,1,2.4,8,1,1.3,8,1,2.9,8,1,2.6,8,1,2.6,8,1,2.4,8,1,3.2,8,1,2.6,8,1,2.9,8,1,0.9,8,1,3.8,8,1,3.3,8,1,3.9,8,1,3.5,8,1
Apr-80,7.1,8,1,7.4,8,1,6.8,8,1,7.6,8,1,7.8,8,1,8,8,1,7.8,8,1,8.3,8,1,7.6,8,1,8,8,1,6.6,8,1,9.2,8,1,9,8,1,9.1,8,1,9.3,8,1
May-80,13.5,8,1,14.8,8,1,14,8,1,13.5,8,1,14.8,8,1,15.2,8,1,14.7,8,1,14.4,8,1,14.3,5,1,14.4,8,1,14.1,8,1,15.6,8,1,16.1,8,1,15.4,8,1,16.2,8,1
Jun-80,18.6,8,1,19.8,8,1,19.1,8,1,18.7,8,1,19.8,8,1,20.2,8,1,19.6,8,1,19.3,8,1,19.4,8,1,19,8,1,18.7,8,1,20.1,8,1,20.5,8,1,19.8,8,1,20.6,5,1
Jul-80,18.4,8,1,19.5,8,1,18.9,8,1,18.4,8,1,19.7,8,1,19.8,8,1,19.4,5,1,19.4,8,1,19.3,8,1,18.7,5,1,18.5,8,1,19.9,8,1,19.7,5,1,19.8,8,1,19.9,8,1
Aug-80,19.1,8,1,19.7,8,1,19,8,1,18.6,8,1,19.9,8,1,20,8,1,19.4,8,1,19.9,8,1,19.5,8,1,19.2,8,1,18.3,8,1,20.1,8,1,19.4,8,1,19.8,8,1,19.7,8,1
Sep-80,18,8,1,18.2,8,1,17.8,8,1,18.2,8,1,18.6,8,1,19,8,1,18.5,8,1,19,8,1,18.3,8,1,18.6,8,1,17.1,8,1,19.6,8,1,18.9,8,1,19.3,8,1,19,8,1
Oct-80,13,8,1,12.5,8,1,12,8,1,13.5,5,1,13,8,1,13.2,8,1,12.6,8,1,14,8,1,12.7,8,1,13.5,8,1,11.5,8,1,14.3,8,1,13.6,8,1,14.2,8,1,13.6,8,1
Nov-80,8.1,8,1,7.3,8,1,7.4,8,1,8.5,8,1,7.6,8,1,8.1,8,1,7.8,8,1,8.8,8,1,7.8,8,1,9,8,1,6.9,5,1,9.6,8,1,8.8,8,1,9.3,5,1,8.5,8,1
Dec-80,2.7,8,1,1.2,8,1,1.4,8,1,2.7,8,1,1.4,8,1,2,8,1,2,5,1,3,8,1,2.1,8,1,2.9,8,1,1.3,5,1,3.6,8,1,3,5,1,3.8,5,1,3.3,5,1
Jan-81,-1.5,8,1,-2.7,8,1,-2.3,8,1,-1.1,8,1,-1.7,8,1,-1.7,8,1,-1.7,8,1,-0.7,8,1,-1.2,8,1,-1,8,1,-2.7,8,1,0,8,1,-0.2,8,1,0.1,8,1,0.2,8,1
Feb-81,0.2,8,1,0.1,5,1,-0.6,8,1,0.7,8,1,0.2,8,1,0.2,8,1,-0.2,8,1,1,8,1,0.3,8,1,0.6,8,1,-1.3,8,1,1.4,8,1,0.8,8,1,1.4,8,1,1.2,8,1
Mar-81,2.5,8,1,2.7,8,1,1.8,8,1,2.8,8,1,2.8,8,1,3,8,1,2.7,8,1,3.2,8,1,2.6,8,1,3.1,8,1,1.2,8,1,4,8,1,3.7,8,1,4,8,1,4,8,1
Apr-81,8.7,8,1,8.9,5,1,8.3,8,1,8.8,5,1,8.8,8,1,9.1,8,1,8.8,8,1,9.1,8,1,8.5,8,1,9.1,8,1,7.8,8,1,10,8,1,9.8,8,1,9.7,8,1,9.9,8,1
