ダウンロードした時刻：2023/06/18 09:09:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,那須高原,那須高原,那須高原,黒磯,黒磯,黒磯,大田原,大田原,大田原,塩谷,塩谷,塩谷,奥日光（日光）,奥日光（日光）,奥日光（日光）,土呂部,土呂部,土呂部,五十里,五十里,五十里,真岡,真岡,真岡,宇都宮,宇都宮,宇都宮,鹿沼,鹿沼,鹿沼,小山,小山,小山,佐野,佐野,佐野
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,-1.7,8,1,0.6,8,1,1.3,8,1,0.9,8,1,-4,8,1,-4.3,8,1,-2.3,8,1,1.5,8,1,2.2,8,1,1.2,8,1,2.1,8,1,2.5,8,1
Feb-80,-3.2,8,1,-0.3,8,1,0.6,8,1,0.2,8,1,-5.6,8,1,-4.6,8,1,-2.9,8,1,0.9,8,1,1.6,8,1,0.6,8,1,1.7,8,1,2.3,8,1
Mar-80,0.6,5,1,3.4,8,1,4.2,8,1,3.9,8,1,-1.4,8,1,-0.9,8,1,1.1,8,1,4.8,8,1,5.5,8,1,4.3,8,1,5.5,5,1,5.9,8,1
Apr-80,6.4,8,1,8.7,8,1,9.7,8,1,9.7,8,1,4.1,8,1,5,8,1,7.1,8,1,10.8,8,1,11.2,8,1,10,8,1,11.4,8,1,11.2,8,1
May-80,13.2,8,1,15.3,8,1,16,8,1,16.2,8,1,10.5,8,1,11.5,8,1,13.4,5,1,16.7,8,1,17.3,8,1,16.3,8,1,17.1,8,1,16.9,8,1
Jun-80,17.8,5,1,20.3,8,1,20.8,8,1,21.1,8,1,15.3,8,1,16.6,8,1,18.3,8,1,21.9,8,1,22.2,8,1,21.4,8,1,22.3,8,1,22.4,5,1
Jul-80,18,8,1,20.4,8,1,20.9,5,1,21.2,8,1,16.5,8,1,17.6,8,1,19.2,8,1,22.1,8,1,22.4,8,1,21.6,8,1,22.3,8,1,22.6,8,1
Aug-80,17.7,8,1,20.3,8,1,20.8,8,1,21,8,1,16.3,8,1,18,8,1,19.3,8,1,21.9,8,1,22.1,8,1,21.4,8,1,22,8,1,22.2,8,1
Sep-80,16.2,8,1,18.8,8,1,19.4,8,1,19.4,8,1,13.9,8,1,14.9,8,1,16.7,5,1,20.7,8,1,21.2,8,1,19.9,8,1,21,8,1,20.8,8,1
Oct-80,11.3,8,1,13.6,5,1,14,8,1,14,8,1,9.2,8,1,9.4,8,1,11.4,8,1,14.9,8,1,15.6,8,1,14.4,8,1,15.4,8,1,15.2,8,1
Nov-80,6.5,8,1,7.9,8,1,8.6,8,1,8.2,8,1,4.3,8,1,4,5,1,6,5,1,8.8,8,1,9.6,8,1,8.5,8,1,9.4,8,1,9.5,8,1
Dec-80,0.1,8,1,2.1,8,1,2.8,8,1,2.5,8,1,-2.4,8,1,-2.4,8,1,0.2,8,1,3,8,1,4,8,1,3,8,1,3.9,8,1,4.7,8,1
Jan-81,-4,8,1,-1.3,8,1,-0.2,5,1,-0.9,8,1,-6.4,8,1,-6.1,8,1,-3.9,8,1,-0.8,8,1,0.1,8,1,-0.9,8,1,0.6,8,1,1.5,8,1
Feb-81,-2.4,8,1,0.2,8,1,1.4,8,1,0.6,8,1,-5,8,1,-5,8,1,-2.9,8,1,1.4,8,1,2.1,8,1,1.1,8,1,2.2,8,1,2.4,8,1
Mar-81,1.7,8,1,4.2,8,1,5.4,8,1,4.8,8,1,-0.6,8,1,0,8,1,1.9,8,1,5.8,8,1,6.4,8,1,5.6,8,1,6.5,8,1,6.9,8,1
