ダウンロードした時刻：2023/06/17 23:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,藤原,藤原,藤原,みなかみ,みなかみ,みなかみ,沼田,沼田,沼田,中之条,中之条,中之条,草津,草津,草津,田代,田代,田代,上里見,上里見,上里見,西野牧,西野牧,西野牧,前橋,前橋,前橋,桐生,桐生,桐生,伊勢崎,伊勢崎,伊勢崎,館林,館林,館林,神流,神流,神流
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,-2.8,8,1,-1.5,8,1,-1.1,8,1,0.1,8,1,-3.9,8,1,-4.3,8,1,1.9,8,1,0.9,8,1,3,8,1,2.7,8,1,2.5,8,1,3,8,1,0.8,8,1
Feb-80,-3.9,8,1,-2.3,8,1,-1.1,8,1,-0.2,8,1,-5.6,8,1,-5.9,8,1,1.7,8,1,0.7,8,1,2.6,8,1,2.6,8,1,2.7,8,1,3,8,1,1.2,8,1
Mar-80,-0.3,8,1,1.1,8,1,2.4,8,1,3.1,8,1,-1.5,8,1,-2,8,1,4.8,8,1,3.8,5,1,6.1,8,1,6.2,8,1,5.9,8,1,6.5,8,1,4.4,8,1
Apr-80,5,8,1,6.9,8,1,8.3,8,1,8.9,8,1,4.6,8,1,4.5,8,1,10.4,8,1,9.1,8,1,11.6,8,1,11.8,8,1,11.5,8,1,12.1,8,1,10.2,8,1
May-80,12.5,8,1,14,8,1,15,8,1,15.6,8,1,11.8,8,1,11.5,8,1,16.6,8,1,15.3,8,1,18,8,1,17.8,8,1,17.5,8,1,18,8,1,16.1,8,1
Jun-80,17.5,5,1,19.1,8,1,20.4,8,1,21,8,1,16.1,8,1,16.1,8,1,21.6,8,1,20.7,8,1,23,8,1,22.7,8,1,22.7,8,1,23.2,8,1,21.4,8,1
Jul-80,19,8,1,20.3,8,1,20.9,8,1,21.7,8,1,17,8,1,17.2,8,1,22,8,1,21.2,8,1,22.9,8,1,22.7,8,1,22.9,8,1,23.2,8,1,21.8,8,1
Aug-80,19.5,8,1,20.7,8,1,20.8,8,1,21.4,8,1,17.1,8,1,17.2,8,1,21.6,8,1,20.9,5,1,22.6,8,1,22.4,8,1,22.5,8,1,22.8,8,1,21.8,8,1
Sep-80,16.2,5,1,17.7,8,1,18.4,8,1,19,8,1,14.3,8,1,14.4,8,1,19.8,8,1,18.6,8,1,21,8,1,21.1,8,1,21,8,1,21.7,8,1,19.1,8,1
