ダウンロードした時刻：2023/06/17 23:24:44,,,,,,,,,,,,
,,,,,,,,,,,,
,横浜,横浜,横浜,海老名,海老名,海老名,小田原,小田原,小田原,三浦,三浦,三浦
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,5.5,8,1,4.5,8,1,5.5,8,1,6.6,8,1
Feb-80,4.8,8,1,4.2,8,1,4.6,8,1,5.5,8,1
Mar-80,7.9,8,1,7.5,8,1,7.8,8,1,8.1,8,1
Apr-80,13.2,8,1,12.8,8,1,12.9,8,1,13.3,8,1
May-80,18.4,8,1,17.9,8,1,18,8,1,17.8,8,1
Jun-80,22.8,8,1,22.6,8,1,22,8,1,21.8,8,1
Jul-80,23.5,8,1,23.4,8,1,23.3,8,1,23.1,8,1
Aug-80,23,8,1,23,8,1,22.8,8,1,22.7,8,1
Sep-80,22.5,8,1,21.9,8,1,22,8,1,22.2,8,1
Oct-80,18.1,8,1,17.2,8,1,17.4,8,1,17.9,8,1
Nov-80,12.8,8,1,11.8,8,1,12.4,8,1,13.2,8,1
Dec-80,7.6,8,1,6,8,1,6.8,8,1,8,8,1
Jan-81,4.4,8,1,2.5,8,1,3.5,8,1,4.7,8,1
Feb-81,5.3,8,1,4.1,8,1,4.8,8,1,5.4,8,1
Mar-81,9,8,1,8.1,8,1,8.4,8,1,8.9,8,1
Apr-81,14,8,1,12.8,8,1,13,8,1,13.4,8,1
May-81,17.5,8,1,16.8,8,1,17,8,1,17.2,8,1
Jun-81,20.1,8,1,20,8,1,20.1,8,1,20.1,8,1
Jul-81,25.6,8,1,25.5,8,1,25.4,8,1,24.9,8,1
Aug-81,25.8,8,1,25.3,8,1,25.1,8,1,25.5,8,1
Sep-81,21.5,8,1,21,8,1,21.1,8,1,21.4,8,1
Oct-81,17.5,8,1,16.4,8,1,16.7,8,1,17.5,8,1
Nov-81,10.8,8,1,9.7,8,1,10.1,8,1,11.1,8,1
Dec-81,7.8,8,1,6,8,1,7,8,1,8.3,8,1
Jan-82,6,8,1,4.6,8,1,5.1,8,1,6.2,8,1
Feb-82,5.6,8,1,4.4,8,1,4.6,8,1,5.6,8,1
Mar-82,9.5,8,1,8.9,8,1,9,8,1,9.7,8,1
Apr-82,13.1,8,1,13.1,8,1,13,8,1,13.6,8,1
May-82,19.6,8,1,19.7,8,1,19.5,8,1,19.4,8,1
Jun-82,20.6,8,1,20.8,8,1,20.3,8,1,20.6,8,1
Jul-82,22,8,1,22.3,8,1,21.9,8,1,21.9,8,1
Aug-82,26,8,1,25.8,8,1,25.4,8,1,25.7,8,1
Sep-82,21.4,8,1,21.4,8,1,21.4,8,1,21.5,8,1
Oct-82,17,8,1,17.5,4,1,16.9,8,1,17.5,8,1
Nov-82,13.8,8,1,13,5,1,13.8,8,1,14.4,8,1
Dec-82,8.7,8,1,7.4,8,1,8.4,8,1,9.7,8,1
Jan-83,5.8,8,1,4.6,8,1,5.5,8,1,6.8,8,1
Feb-83,5.4,8,1,4.5,8,1,5.2,8,1,6.1,8,1
Mar-83,7.9,8,1,7.5,8,1,8,8,1,8.4,8,1
Apr-83,15,8,1,15,8,1,15,8,1,14.9,8,1
May-83,18.7,8,1,18.6,8,1,18.4,8,1,18.6,8,1
Jun-83,19.6,8,1,19.8,8,1,19.5,8,1,19.7,8,1
Jul-83,23,8,1,23.2,8,1,23.3,8,1,23.1,8,1
Aug-83,26.4,8,1,26.5,8,1,26.1,8,1,26.3,8,1
Sep-83,22.2,8,1,22.1,8,1,22,8,1,22.5,8,1
Oct-83,16.7,8,1,16.4,8,1,16.6,8,1,17.2,8,1
