ダウンロードした時刻：2023/06/17 23:19:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,大月,大月,大月,勝沼,勝沼,勝沼,甲府,甲府,甲府,韮崎,韮崎,韮崎,大泉,大泉,大泉,古関,古関,古関,河口湖,河口湖,河口湖,山中,山中,山中,南部,南部,南部,切石,切石,切石
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,1.3,8,1,1.5,8,1,2,8,1,1.7,8,1,-0.8,8,1,-0.2,8,1,-1.3,8,1,-3.1,8,1,3.8,8,1,1.5,8,1
Feb-80,1.5,8,1,2.1,8,1,2.7,8,1,2.2,8,1,-1.1,8,1,0.2,8,1,-1.5,8,1,-3.5,8,1,3.8,8,1,2,8,1
Mar-80,5.3,8,1,6.2,8,1,6.9,8,1,6.2,8,1,3,8,1,4.6,8,1,2.9,8,1,1.4,8,1,7.5,8,1,6,8,1
Apr-80,11.2,8,1,11.9,8,1,12.6,8,1,11.7,8,1,8.4,8,1,10.4,8,1,8.4,8,1,6.9,8,1,13.1,8,1,12,8,1
May-80,16.8,8,1,17.3,8,1,18,8,1,17.1,8,1,14.2,8,1,15.7,8,1,14.2,8,1,12.6,8,1,18.1,8,1,16.8,8,1
Jun-80,21.2,8,1,21.9,8,1,22.6,8,1,22.2,8,1,19.1,8,1,20.4,8,1,18.7,8,1,17.1,8,1,22.6,8,1,21.7,8,1
Jul-80,22.4,8,1,23.5,8,1,24.2,8,1,23.5,8,1,20.3,8,1,22.1,8,1,20.2,8,1,18.9,8,1,24.2,8,1,23.4,8,1
Aug-80,21.9,8,1,23.5,8,1,24.2,8,1,23.6,8,1,20.4,8,1,22,8,1,19.7,8,1,18.5,8,1,24.3,8,1,23.4,8,1
Sep-80,19.4,8,1,20.3,8,1,21.1,8,1,20.4,8,1,17.2,8,1,18.9,8,1,17,8,1,15.7,8,1,21.9,8,1,20.4,8,1
Oct-80,14.5,8,1,15,8,1,15.8,8,1,15.1,8,1,12.3,8,1,13.6,8,1,12.3,8,1,10.9,8,1,17,8,1,15.2,8,1
Nov-80,8.8,8,1,9.7,8,1,10.2,8,1,9.7,8,1,7.5,8,1,8.6,8,1,7.3,8,1,5.8,8,1,11.8,8,1,9.4,8,1
