ダウンロードした時刻：2023/06/18 23:58:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,栃尾,栃尾,栃尾,高山,高山,高山,宮之前,宮之前,宮之前,六厩,六厩,六厩,長滝,長滝,長滝,八幡,八幡,八幡,萩原,萩原,萩原,宮地,宮地,宮地,金山,金山,金山,黒川,黒川,黒川,中津川,中津川,中津川,恵那,恵那,恵那,多治見,多治見,多治見,美濃加茂,美濃加茂,美濃加茂,美濃,美濃,美濃,岐阜,岐阜,岐阜,大垣,大垣,大垣,樽見,樽見,樽見,揖斐川,揖斐川,揖斐川,関ケ原,関ケ原,関ケ原,白川,白川,白川,河合,河合,河合,神岡,神岡,神岡
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,-2.2,8,1,-1.6,8,1,-3.7,8,1,-4.8,8,1,-1,8,1,0.1,8,1,0,8,1,-0.4,8,1,1.5,8,1,-0.4,8,1,1.4,8,1,1.2,8,1,2.9,8,1,2.6,8,1,2.8,8,1,4.2,8,1,4.1,8,1,0.8,8,1,3.3,8,1,2.6,8,1,-1.1,8,1,-1.7,8,1,-0.9,8,1
Feb-80,-3.3,8,1,-1.9,8,1,-4.9,8,1,-6.2,8,1,-1.8,8,1,0.1,8,1,-0.7,8,1,-0.8,8,1,0.9,8,1,-1.1,8,1,0.4,8,1,0.3,8,1,1.8,8,1,1.5,8,1,1.9,8,1,3.5,8,1,3.6,8,1,0.2,8,1,2.7,8,1,1.7,8,1,-1.8,5,1,-2.2,8,1,-1.7,8,1
Mar-80,1,8,1,2.2,8,1,-0.3,8,1,-1.7,8,1,2.6,8,1,4.5,8,1,3.9,8,1,3.7,8,1,5.3,8,1,3.9,8,1,5.4,8,1,5.2,8,1,6.7,8,1,6.6,8,1,6.7,8,1,8.1,8,1,8,8,1,4.6,8,1,7.3,8,1,6.1,8,1,1.3,8,1,1.1,8,1,2.3,8,1
Apr-80,6.8,8,1,8.3,8,1,5.9,8,1,4.4,8,1,8.3,8,1,10.3,8,1,9.6,8,1,9.5,8,1,10.9,8,1,9.5,5,1,10.9,8,1,10.7,8,1,12.3,8,1,12.1,8,1,12,8,1,13.2,8,1,12.8,8,1,10.3,8,1,12.2,8,1,11,8,1,7.6,8,1,7.1,8,1,8.3,8,1
May-80,13.2,8,1,14.8,8,1,12,8,1,10.9,5,1,14.4,5,1,15.8,8,1,15.3,8,1,15.1,8,1,16,8,1,15.2,8,1,16.7,8,1,16.4,8,1,17.8,8,1,17.5,8,1,17.4,8,1,18.6,8,1,18.3,8,1,15.8,8,1,17.9,8,1,16.7,8,1,14.8,5,1,14.1,8,1,15,8,1
Jun-80,18.1,8,1,20,8,1,16.9,8,1,15.9,8,1,19.2,8,1,20.6,8,1,20.1,5,1,20,8,1,20.7,8,1,20.1,8,1,21.5,8,1,21.3,8,1,22.7,8,1,22.4,8,1,21.9,8,1,23.4,8,1,23.2,8,1,20.6,8,1,22.8,8,1,21.6,8,1,19.3,8,1,19.1,8,1,19.8,8,1
Jul-80,19.4,8,1,21.4,8,1,18.5,8,1,17.7,8,1,20.4,8,1,22.2,8,1,21.4,8,1,21.6,8,1,22.1,8,1,21.7,8,1,22.8,8,1,22.8,8,1,24.4,8,1,24,8,1,23.5,8,1,25,8,1,24.6,8,1,22.1,8,1,24,8,1,23,8,1,20.6,5,1,20.6,8,1,21.1,8,1
Aug-80,20.7,8,1,22.5,8,1,19.4,8,1,18.8,5,1,21.4,5,1,22.8,8,1,22,8,1,21.9,8,1,22.7,8,1,22,8,1,22.9,8,1,23,5,1,24.6,8,1,24.3,8,1,23.8,8,1,25.3,8,1,25.2,8,1,22.7,8,1,24.3,8,1,23.7,8,1,21.8,8,1,21.7,8,1,22.4,8,1
