ダウンロードした時刻：2023/06/19 00:05:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,御殿場,御殿場,御殿場,三島,三島,三島,富士,富士,富士,網代,網代,網代,稲取,稲取,稲取,松崎,松崎,松崎,石廊崎,石廊崎,石廊崎,清水,清水,清水,静岡,静岡,静岡,井川,井川,井川,佐久間,佐久間,佐久間,浜松,浜松,浜松,磐田,磐田,磐田,御前崎,御前崎,御前崎,菊川牧之原,菊川牧之原,菊川牧之原
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,2.3,8,1,5.7,8,1,4.9,8,1,6.5,8,1,6.4,8,1,6.9,8,1,7.8,8,1,6.4,8,1,6.5,8,1,0.8,8,1,3.8,8,1,5.7,8,1,5.7,8,1,6.2,8,1,4.1,8,1
Feb-80,1.1,8,1,5,8,1,4.5,8,1,4.7,8,1,5.2,8,1,5.7,8,1,6.4,8,1,5.5,8,1,5.7,8,1,-0.2,8,1,3.2,8,1,4.8,8,1,4.8,8,1,5.1,8,1,3.1,8,1
Mar-80,5.2,8,1,8.7,8,1,8.4,8,1,8.5,8,1,8.6,8,1,9.6,8,1,10.2,8,1,9.4,8,1,9.7,8,1,4.5,8,1,7.5,8,1,9.2,8,1,9.1,8,1,9.8,8,1,7.9,8,1
Apr-80,9.8,8,1,13.7,8,1,13,8,1,13.5,8,1,13.2,8,1,13.7,8,1,13.8,8,1,13.8,8,1,14.3,8,1,9.1,8,1,12.5,8,1,13.5,8,1,13.2,8,1,13.7,8,1,12.3,8,1
May-80,15.3,8,1,18.3,8,1,17.8,8,1,18.5,8,1,17.8,8,1,18.1,8,1,18.1,8,1,18.2,8,1,18.7,8,1,14.3,8,1,17.8,8,1,18.7,8,1,17.9,8,1,17.9,8,1,17.2,8,1
Jun-80,19.6,8,1,22.8,8,1,22,8,1,22.4,8,1,21.6,8,1,22,5,1,21.9,8,1,22.3,8,1,22.9,8,1,18.7,8,1,22.4,8,1,22.8,8,1,21.9,8,1,21.7,8,1,21.3,8,1
Jul-80,20.9,8,1,24.4,8,1,23.7,8,1,23.4,8,1,23.1,8,1,24.4,8,1,23.5,8,1,24.1,8,1,24.8,8,1,20.5,8,1,24.2,8,1,24.6,8,1,24.1,8,1,24.1,8,1,23.1,8,1
Aug-80,20.9,8,1,24.2,8,1,23.7,8,1,22.8,8,1,22.7,8,1,24.1,8,1,23.5,8,1,24.2,8,1,24.9,8,1,20.4,8,1,24.1,8,1,24.8,8,1,24.4,8,1,24.5,8,1,23,8,1
Sep-80,18.9,8,1,22.4,8,1,22,8,1,22.4,8,1,21.9,8,1,22.3,8,1,22.8,8,1,22.6,8,1,23,8,1,17.7,8,1,21.7,8,1,22.8,8,1,22.3,8,1,23.1,8,1,21.2,8,1
Oct-80,14.5,8,1,17.8,8,1,17.6,8,1,18.2,8,1,17.9,8,1,18.1,8,1,19.2,8,1,18.2,8,1,18.6,8,1,12.8,8,1,16.2,8,1,18.3,8,1,18.1,8,1,18.7,8,1,16.6,8,1
Nov-80,9.9,8,1,12.7,8,1,12.7,8,1,13.9,8,1,13.8,8,1,13.6,8,1,15.4,8,1,13.9,8,1,14.2,8,1,8.6,8,1,11.1,8,1,13.7,8,1,13.5,5,1,14.6,8,1,12.4,8,1
Dec-80,3.2,8,1,6.1,8,1,6.1,8,1,8.2,8,1,7.7,8,1,7.1,8,1,9.2,8,1,7,8,1,7.3,8,1,1.5,8,1,4,8,1,6.6,8,1,6.6,8,1,7,8,1,4.8,8,1
Jan-81,0.1,8,1,3.3,8,1,2.9,8,1,5.2,8,1,4.7,8,1,4.6,8,1,5.9,8,1,4.1,8,1,4.4,8,1,-1.3,8,1,1.8,8,1,3.4,8,1,3.5,8,1,3.7,8,1,1.7,8,1
Feb-81,2.3,8,1,5.3,8,1,4.9,8,1,6.1,8,1,5.9,8,1,6.1,8,1,7.1,8,1,5.9,8,1,6.3,8,1,0.7,8,1,3.5,8,1,5.4,8,1,5.4,8,1,5.9,8,1,4.1,8,1
Mar-81,6.2,8,1,9,8,1,8.7,8,1,9,8,1,9,8,1,9.5,8,1,10.2,8,1,9.7,5,1,10.1,8,1,4.8,8,1,7.8,8,1,9.3,8,1,9,8,1,9.6,8,1,8,8,1
