ダウンロードした時刻：2023/06/19 00:23:26,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,宮津,宮津,宮津,舞鶴,舞鶴,舞鶴,美山,美山,美山,京都,京都,京都,園部,園部,園部
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,3.7,8,1,3.6,8,1,1.1,8,1,4.2,8,1,1.8,8,1
Feb-80,2.1,8,1,2.3,8,1,0.3,8,1,3.5,8,1,1,8,1
Mar-80,5.9,8,1,6.1,8,1,4.1,8,1,7.3,8,1,4.7,8,1
Apr-80,12.8,4,1,11.4,8,1,9.3,8,1,12.7,8,1,10.1,8,1
May-80,17.7,8,1,17.7,8,1,15.5,8,1,18.6,8,1,16.3,8,1
Jun-80,21.8,8,1,22.1,8,1,20.4,8,1,23.4,8,1,21.2,8,1
Jul-80,23.2,8,1,23.6,8,1,21.9,8,1,24.9,8,1,22.8,8,1
Aug-80,23.7,8,1,24.1,8,1,22.4,8,1,25.6,8,1,22.9,8,1
Sep-80,20.6,8,1,20.9,8,1,19,8,1,22.2,8,1,19.2,8,1
Oct-80,15.9,8,1,16.1,8,1,14.1,8,1,17.4,8,1,14.3,8,1
Nov-80,11.2,8,1,11.1,8,1,9,8,1,12.2,8,1,8.7,8,1
Dec-80,4.7,8,1,4.5,8,1,2.3,8,1,5.1,8,1,2.1,8,1
Jan-81,1,8,1,0.9,8,1,-0.9,8,1,2.4,8,1,-0.3,8,1
Feb-81,2.6,8,1,2.7,8,1,0.4,8,1,3.9,8,1,1.2,8,1
Mar-81,6.6,8,1,6.8,8,1,4.7,5,1,8.3,8,1,5.4,8,1
Apr-81,11.9,8,1,12.1,8,1,10.2,8,1,13.5,8,1,10.7,8,1
May-81,15.7,8,1,16,8,1,14.1,8,1,17.7,8,1,14.8,8,1
Jun-81,20.9,8,1,21.1,8,1,19.1,8,1,22.3,8,1,19.9,8,1
Jul-81,26.5,8,1,26.7,8,1,24.3,8,1,27.4,8,1,24.9,8,1
Aug-81,25.4,8,1,25.6,8,1,23.7,4,1,26.7,8,1,23.8,8,1
Sep-81,20.4,8,1,20.9,8,1,18.6,8,1,22,8,1,18.9,8,1
Oct-81,15.1,8,1,15.2,8,1,13,8,1,16,8,1,12.9,8,1
Nov-81,9,8,1,8.8,8,1,6.6,8,1,9.6,8,1,6.6,8,1
Dec-81,5.2,8,1,4.8,8,1,2.7,8,1,5.8,8,1,2.9,8,1
Jan-82,3.1,8,1,3,8,1,1,5,1,3.8,8,1,0.9,8,1
Feb-82,2.8,8,1,3,8,1,0.6,8,1,4.3,8,1,1.7,8,1
Mar-82,7.3,8,1,7.5,8,1,5.6,8,1,8.6,8,1,6,8,1
Apr-82,12,8,1,12.3,8,1,10.3,8,1,13.4,8,1,10.6,8,1
May-82,18.4,8,1,18.6,8,1,17,8,1,20.2,8,1,17.3,8,1
Jun-82,19.8,8,1,20,8,1,18.1,8,1,21.6,8,1,18.7,8,1
Jul-82,23.5,8,1,23.5,8,1,21.6,8,1,24.2,8,1,21.8,8,1
Aug-82,25.8,8,1,26,8,1,23.8,8,1,26.4,8,1,24.1,8,1
Sep-82,20.2,8,1,20.7,8,1,18.8,5,1,22.1,8,1,19.2,8,1
Oct-82,15.9,8,1,16.1,8,1,14.1,8,1,17.3,8,1,14.1,8,1
Nov-82,12.4,8,1,12.4,8,1,10.7,8,1,13.4,8,1,10.8,8,1
Dec-82,6.8,8,1,6.6,8,1,4.2,8,1,7,8,1,3.8,5,1
Jan-83,3.9,8,1,3.8,8,1,2.4,5,1,4.8,8,1,2.3,8,1
Feb-83,2.8,8,1,3.1,8,1,1.7,8,1,4.5,8,1,1.8,8,1
Mar-83,6.6,8,1,6.9,8,1,5.5,8,1,7.8,8,1,5.6,5,1
Apr-83,14.4,8,1,14.7,8,1,13.7,8,1,15.9,8,1,13.5,8,1
May-83,17.2,8,1,17.7,8,1,16.2,5,1,19.4,8,1,16.5,8,1
Jun-83,19.9,8,1,20.4,8,1,19,8,1,21.8,8,1,19.1,8,1
Jul-83,23.7,8,1,24.4,8,1,23.2,8,1,25.7,8,1,23.4,8,1
Aug-83,26.3,8,1,27,8,1,25.6,8,1,28.5,8,1,25.7,8,1
