ダウンロードした時刻：2023/06/19 00:26:42,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,岩井,岩井,岩井,鳥取,鳥取,鳥取,智頭,智頭,智頭,青谷,青谷,青谷,倉吉,倉吉,倉吉,塩津,塩津,塩津,米子,米子,米子,茶屋,茶屋,茶屋,境,境,境
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,3.1,8,1,3.4,8,1,2.1,8,1,4,8,1,4,8,1,4.3,8,1,3.8,8,1,-0.6,8,1,4.2,8,1
Feb-80,2,8,1,2.9,8,1,1,8,1,3.1,8,1,2.9,8,1,3.2,8,1,2.9,8,1,-1.6,8,1,3.2,8,1
Mar-80,5.7,5,1,6.6,8,1,5.2,8,1,6.3,8,1,6.5,8,1,6.8,8,1,6.7,8,1,2.8,8,1,7,8,1
Apr-80,10.6,8,1,11.6,8,1,10.3,8,1,10.6,8,1,11.1,8,1,11,8,1,11.5,8,1,8.2,8,1,11.5,8,1
May-80,16.6,5,1,17.8,8,1,16.7,8,1,16.2,5,1,17,8,1,16.5,8,1,17.3,8,1,14.9,8,1,17.4,8,1
Jun-80,21,8,1,22.1,8,1,21.1,8,1,21,8,1,21.5,8,1,21,8,1,22.1,8,1,19.3,8,1,22.1,8,1
Jul-80,22.6,8,1,23.6,8,1,22.6,8,1,22.8,8,1,22.9,8,1,22.6,8,1,23.3,8,1,20.9,8,1,23.3,8,1
Aug-80,22.9,8,1,23.8,8,1,22.7,8,1,23.1,8,1,23.1,8,1,23.1,8,1,23.5,8,1,20.7,8,1,23.7,8,1
Sep-80,19.9,8,1,20.8,8,1,19.8,5,1,20.2,8,1,20.3,8,1,20.7,8,1,21,8,1,17.3,5,1,21.4,8,1
Oct-80,15.2,8,1,15.9,8,1,14.6,8,1,15.8,5,1,15.6,8,1,16,8,1,16,8,1,12.1,8,1,16.6,8,1
Nov-80,10.9,5,1,11.4,8,1,9.5,8,1,11.2,8,1,11.6,5,1,11.8,8,1,11.3,8,1,6.8,8,1,11.4,8,1
Dec-80,4.4,8,1,4.8,8,1,2.8,8,1,5,8,1,4.6,8,1,4.8,8,1,4.4,8,1,0.2,5,1,4.7,8,1
Jan-81,1.1,8,1,1.3,8,1,-0.5,8,1,1.8,8,1,1.7,8,1,2.1,8,1,1.9,8,1,-2.9,8,1,2,8,1
Feb-81,2,8,1,2.9,8,1,0.7,8,1,3.2,8,1,3.3,8,1,3.7,8,1,3.3,8,1,-1.5,8,1,3.5,8,1
Mar-81,6.4,8,1,7.5,8,1,5.8,8,1,7.2,5,1,7.6,5,1,7.7,8,1,7.6,8,1,3.5,8,1,7.8,8,1
Apr-81,11.3,8,1,12.3,8,1,11.2,8,1,11.4,8,1,11.9,8,1,12,5,1,12.3,8,1,9.1,8,1,12.4,8,1
May-81,15.3,8,1,16.4,8,1,15.3,8,1,15.3,8,1,16,8,1,15.6,8,1,16.6,8,1,13.4,5,1,16.7,8,1
Jun-81,20.3,5,1,21.2,8,1,20.3,8,1,20.2,8,1,20.6,8,1,19.9,8,1,21,8,1,18.6,8,1,21,8,1
Jul-81,25.4,8,1,26.8,8,1,25.4,8,1,25.7,8,1,26.1,8,1,25.5,8,1,26.7,8,1,23.4,8,1,26.9,8,1
