ダウンロードした時刻：2023/06/19 00:29:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,上長田,上長田,上長田,今岡,今岡,今岡,奈義,奈義,奈義,津山,津山,津山,久世,久世,久世,千屋,千屋,千屋,新見,新見,新見,福渡,福渡,福渡,和気,和気,和気,虫明,虫明,虫明,岡山,岡山,岡山,高梁,高梁,高梁,倉敷,倉敷,倉敷,笠岡,笠岡,笠岡,玉野,玉野,玉野
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,-0.4,8,1,1.4,8,1,1.7,8,1,2.1,8,1,1.6,8,1,-0.5,5,1,0.8,5,1,2.3,8,1,2.5,8,1,3.8,8,1,3.4,8,1,2.4,8,1,3.6,8,1,4.1,8,1,4.8,5,1
Feb-80,-1.5,8,1,0.3,8,1,1,8,1,1.4,8,1,0.8,5,1,-1.6,8,1,-0.2,8,1,1.6,8,1,1.4,8,1,2.9,8,1,2.9,8,1,1.6,8,1,3,8,1,3.1,8,1,3.9,8,1
Mar-80,2.8,8,1,4.8,8,1,5.4,8,1,5.7,8,1,5.5,8,1,3,8,1,4.4,8,1,6,8,1,5.7,8,1,6.6,8,1,7.1,8,1,6.3,8,1,7,8,1,7.2,8,1,7.3,5,1
Apr-80,7.9,8,1,10,8,1,10.6,8,1,10.6,8,1,10.2,8,1,7.8,8,1,9.2,8,1,11,8,1,10.9,8,1,11.8,8,1,12.3,8,1,11.3,8,1,12.1,8,1,12.5,8,1,12.3,8,1
May-80,14.6,5,1,16.4,5,1,16.7,8,1,16.8,8,1,16.5,8,1,14.1,8,1,15.4,8,1,17,8,1,16.7,8,1,17.2,8,1,17.9,8,1,17.1,8,1,17.6,8,1,17.9,8,1,17.4,8,1
Jun-80,19.2,5,1,20.9,5,1,21.3,5,1,21.5,8,1,21.5,8,1,18.7,8,1,19.9,5,1,21.9,8,1,21.8,8,1,21.8,8,1,22.8,8,1,22.3,8,1,22.5,8,1,22.7,8,1,21.9,8,1
Jul-80,20.9,8,1,22.5,8,1,22.8,5,1,23.2,8,1,23.1,8,1,20.5,8,1,21.8,8,1,23.8,8,1,23.7,8,1,24,8,1,24.6,8,1,24,8,1,24.3,8,1,24.6,8,1,24.1,8,1
Aug-80,20.8,8,1,22.7,8,1,22.9,8,1,23.1,8,1,22.9,8,1,20.6,8,1,21.7,8,1,23.8,8,1,23.9,8,1,24.4,8,1,24.6,8,1,23.9,8,1,24.3,8,1,24.8,8,1,24.6,8,1
Sep-80,17.5,5,1,19.6,5,1,20.1,8,1,20.4,8,1,20,8,1,17.3,8,1,18.9,8,1,20.9,8,1,20.6,8,1,21.7,8,1,22,8,1,21.1,8,1,21.7,8,1,22.4,8,1,22.6,8,1
Oct-80,12.4,8,1,14.2,8,1,14.8,8,1,14.8,8,1,14.3,8,1,12,8,1,13.2,8,1,15.1,8,1,15.1,8,1,16.6,8,1,16.6,8,1,15.3,8,1,16.4,8,1,16.9,8,1,17.6,8,1
Nov-80,6.7,8,1,8.6,8,1,9.2,8,1,9.1,8,1,8.8,5,1,6.7,8,1,8.1,8,1,9.6,8,1,9.5,8,1,11.3,8,1,11.2,8,1,9.9,8,1,11.1,8,1,11.5,8,1,12.4,8,1
Dec-80,0,5,1,1.7,5,1,2.4,8,1,2.5,8,1,2.2,8,1,0.1,8,1,1.1,8,1,2.9,8,1,3.1,8,1,4.7,8,1,4.2,8,1,3.1,8,1,4.4,8,1,4.7,8,1,6.2,8,1
Jan-81,-2.6,8,1,-1.1,8,1,-0.4,8,1,0.1,8,1,-0.2,8,1,-2.6,8,1,-1.2,8,1,0.1,8,1,0.3,5,1,1.8,8,1,1.5,8,1,0.3,8,1,1.7,8,1,2.1,8,1,3.3,5,1
Feb-81,-1.4,8,1,0.7,8,1,1.1,8,1,1.5,8,1,1.3,8,1,-1.4,8,1,0.1,8,1,2,8,1,2.2,8,1,3.3,8,1,3.3,8,1,2.2,8,1,3.3,8,1,3.6,8,1,4.3,8,1
Mar-81,3.2,8,1,5.5,8,1,6.2,8,1,6.3,8,1,6.1,8,1,3.5,5,1,5.3,8,1,6.7,8,1,6.6,8,1,7.3,8,1,7.7,8,1,7,8,1,7.6,8,1,7.9,8,1,8.2,8,1
Apr-81,9,8,1,10.7,8,1,11.3,8,1,11.5,8,1,11.1,8,1,8.9,8,1,10.3,8,1,11.8,8,1,11.6,8,1,12.1,8,1,12.9,8,1,12.2,8,1,12.6,8,1,13,8,1,13,8,1
