ダウンロードした時刻：2023/06/19 00:30:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,高野,高野,高野,庄原,庄原,庄原,三次,三次,三次,府中,府中,府中,福山,福山,福山,生口島,生口島,生口島,竹原,竹原,竹原,東広島,東広島,東広島,広島,広島,広島,三入,三入,三入,加計,加計,加計,大朝,大朝,大朝,廿日市津田,廿日市津田,廿日市津田,大竹,大竹,大竹,呉,呉,呉,油木,油木,油木
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,-1.4,8,1,0.1,8,1,1.2,8,1,3,8,1,4,8,1,5,8,1,5.1,8,1,2.1,8,1,4.5,8,1,3.5,8,1,1.3,8,1,0.1,8,1,1.4,8,1,4.5,8,1,5.6,8,1,-0.3,8,1
Feb-80,-2.3,8,1,-0.6,8,1,0.4,8,1,2,8,1,3,8,1,3.7,8,1,3.9,8,1,0.9,8,1,3.5,8,1,2.1,5,1,0.6,8,1,-1,8,1,0.1,8,1,3.4,8,1,4.4,8,1,-1.6,8,1
Mar-80,2.6,8,1,4.6,8,1,5.5,5,1,6.3,8,1,7.1,8,1,7.3,5,1,7.3,8,1,5.5,8,1,7.8,8,1,7.4,8,1,5.9,8,1,4.2,8,1,4.9,8,1,7.7,8,1,8.3,8,1,3.3,8,1
Apr-80,7.8,8,1,9.5,8,1,10.4,8,1,11.4,8,1,12.1,8,1,12,8,1,11.6,8,1,10.6,8,1,12.3,8,1,12.1,8,1,10.6,8,1,8.9,8,1,9.7,8,1,12.6,8,1,12.9,8,1,8.1,8,1
May-80,14,8,1,15.2,5,1,16.2,8,1,17.1,8,1,17.5,8,1,17,8,1,16.2,8,1,16.2,8,1,17.7,8,1,17.7,8,1,16.2,8,1,15,8,1,15.6,8,1,17.9,8,1,18,8,1,14.3,8,1
Jun-80,18.7,8,1,19.9,8,1,21,8,1,21.8,8,1,22.2,8,1,21.4,8,1,19.9,8,1,21,8,1,21.8,8,1,22.4,8,1,21.1,8,1,19.9,8,1,20.1,8,1,22,8,1,22.1,8,1,19,8,1
Jul-80,20.5,8,1,21.7,8,1,22.9,8,1,23.5,8,1,24.2,8,1,23.5,8,1,22.2,8,1,22.9,8,1,23.6,8,1,23.9,8,1,22.7,8,1,21.5,8,1,21.9,8,1,23.9,8,1,24.1,8,1,20.9,8,1
Aug-80,20.7,8,1,22,8,1,23,8,1,23.7,8,1,24.6,8,1,24.2,8,1,23.6,8,1,23.3,5,1,24.3,8,1,24.4,8,1,23,8,1,21.7,8,1,22.4,8,1,24.5,8,1,24.7,8,1,21,8,1
Sep-80,17.2,8,1,18.7,8,1,19.8,8,1,21,8,1,21.9,8,1,22,8,1,21.6,8,1,20,5,1,21.9,8,1,21.5,8,1,19.7,5,1,18.3,8,1,18.9,8,1,21.9,8,1,22.6,8,1,17.6,8,1
Oct-80,11.7,8,1,13,8,1,14.1,8,1,15.4,8,1,16.6,8,1,17.1,8,1,16.9,8,1,14.6,8,1,16.8,8,1,15.9,8,1,14.1,8,1,12.9,8,1,13.6,8,1,16.6,8,1,17.8,8,1,12.1,5,1
Nov-80,6.3,8,1,7.6,5,1,8.7,8,1,10.4,8,1,11.4,8,1,12,8,1,12.4,8,1,9.2,8,1,12,8,1,10.9,8,1,9.1,8,1,7.4,8,1,8.4,8,1,11.8,8,1,13,8,1,6.7,8,1
Dec-80,-0.9,5,1,0.9,8,1,1.7,8,1,3.3,8,1,4.2,8,1,5.7,8,1,5.9,8,1,2.2,8,1,4.8,8,1,3.6,8,1,1.7,8,1,0.7,8,1,1,8,1,4.6,8,1,6.1,8,1,-0.1,8,1
Jan-81,-3.3,8,1,-1.3,8,1,-0.6,8,1,0.9,8,1,1.9,8,1,2.7,5,1,3,8,1,-0.4,8,1,2.1,8,1,1.2,8,1,-0.5,8,1,-1.9,8,1,-1.5,8,1,1.8,8,1,3.2,8,1,-2.9,4,1
Feb-81,-1.9,8,1,0.6,8,1,1.2,8,1,2.6,8,1,3.5,8,1,3.9,8,1,4,8,1,1.5,8,1,3.8,8,1,3,8,1,1.3,8,1,-0.3,8,1,0.9,8,1,4,8,1,4.8,8,1,-1,8,1
Mar-81,2.8,8,1,5.5,8,1,5.8,8,1,7.1,8,1,7.6,8,1,7.8,8,1,7.7,8,1,6.2,8,1,8.1,8,1,7.7,8,1,5.8,8,1,4.6,8,1,5.4,8,1,8.1,8,1,8.7,8,1,4,8,1
Apr-81,8.5,5,1,10.5,8,1,10.9,8,1,12.1,8,1,12.4,8,1,12.4,8,1,11.7,5,1,11,5,1,12.6,8,1,12.5,8,1,10.9,8,1,9.5,8,1,10.1,8,1,12.7,8,1,13.1,8,1,9,8,1
