ダウンロードした時刻：2023/06/19 00:35:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,須佐,須佐,須佐,徳佐,徳佐,徳佐,萩,萩,萩,油谷,油谷,油谷,秋吉台,秋吉台,秋吉台,豊田,豊田,豊田,山口,山口,山口,広瀬,広瀬,広瀬,玖珂,玖珂,玖珂,岩国,岩国,岩国,柳井,柳井,柳井,安下庄,安下庄,安下庄,下松,下松,下松,防府,防府,防府,下関,下関,下関
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,5.5,8,1,1.8,8,1,6,8,1,5.4,8,1,2.7,8,1,3.6,5,1,4.1,8,1,2.1,8,1,3.3,8,1,3.9,8,1,4.5,8,1,5.4,8,1,4.3,8,1,4.6,8,1,6.2,8,1
Feb-80,3.9,8,1,0,8,1,4.6,8,1,3.9,8,1,1.6,8,1,1.9,8,1,2.9,8,1,0.9,8,1,1.9,8,1,2.7,8,1,3.1,8,1,3.9,8,1,3.1,8,1,3.4,8,1,5.3,8,1
Mar-80,7.3,8,1,5.5,8,1,8.2,8,1,7.8,8,1,6.6,8,1,6.1,8,1,7.7,8,1,5.8,8,1,6.8,8,1,6.9,8,1,7.7,8,1,8.1,8,1,7.4,8,1,7.8,8,1,9.1,8,1
Apr-80,11.9,8,1,10.5,8,1,12.6,8,1,12.6,5,1,10.9,8,1,10.7,8,1,12.3,8,1,10.5,8,1,11.6,8,1,11.7,8,1,12.5,8,1,12.6,8,1,12.3,8,1,12.5,8,1,13.2,8,1
May-80,17.1,5,1,16.4,8,1,17.6,8,1,17.7,8,1,16.4,8,1,16.4,8,1,17.9,8,1,16.2,8,1,17.2,8,1,17.2,8,1,17.5,8,1,17.5,8,1,17.6,8,1,17.6,8,1,18,8,1
Jun-80,21.5,8,1,20.6,8,1,21.9,8,1,21.9,8,1,20.3,8,1,21.1,8,1,22.4,8,1,20.6,5,1,21.6,8,1,21.4,8,1,21.5,8,1,20.8,8,1,21.4,8,1,21.9,8,1,22.2,8,1
Jul-80,23.2,8,1,22,8,1,23.3,8,1,23.5,8,1,21.8,8,1,22.8,8,1,23.9,8,1,22.6,8,1,23.6,8,1,23.3,8,1,23.5,8,1,23.1,8,1,23.7,5,1,23.7,8,1,24,8,1
Aug-80,23.2,8,1,22.2,8,1,23.3,8,1,23.4,8,1,22.3,8,1,23.1,8,1,24.4,8,1,23,8,1,24.1,8,1,23.7,8,1,24.3,8,1,23.9,8,1,24,8,1,24.3,8,1,24.4,8,1
Sep-80,20.5,8,1,18.8,8,1,20.9,8,1,20.9,8,1,19.4,8,1,19.8,8,1,21.3,8,1,19.5,8,1,20.9,8,1,20.9,8,1,21.5,8,1,21.8,8,1,21.2,8,1,21.4,5,1,22.6,8,1
Oct-80,16.3,8,1,14,8,1,16.8,8,1,16.7,8,1,14.8,8,1,15.1,8,1,16.4,8,1,14.5,8,1,15.7,8,1,15.8,8,1,16.8,8,1,17.5,8,1,16.5,8,1,16.7,8,1,18.3,8,1
Nov-80,11.4,5,1,8.7,8,1,12.2,8,1,11.8,8,1,10.2,8,1,9.7,8,1,11.4,8,1,9.6,8,1,10.5,8,1,11,8,1,11.9,8,1,13,8,1,12.3,5,1,11.9,8,1,14,8,1
Dec-80,6.2,8,1,1.5,8,1,5.8,8,1,5.7,8,1,2.8,8,1,3.7,8,1,4,8,1,2.3,8,1,3,8,1,4,8,1,4.6,8,1,5.8,8,1,4.5,8,1,4.5,8,1,7,8,1
Jan-81,2.9,8,1,-1.4,8,1,3.1,8,1,2.4,8,1,0.1,8,1,0.8,8,1,1.5,8,1,-0.3,8,1,0.3,8,1,1.3,8,1,1.7,8,1,3.1,5,1,1.9,8,1,2.1,8,1,4.3,8,1
Feb-81,4.3,8,1,1.1,8,1,4.5,8,1,4.6,8,1,2.1,8,1,2.6,8,1,3.6,8,1,2.1,8,1,2.9,8,1,3.3,8,1,4,8,1,4.7,8,1,3.8,8,1,3.9,8,1,5.8,8,1
Mar-81,8.2,8,1,5.9,8,1,8.6,8,1,8.6,5,1,7.1,8,1,7,8,1,8.2,8,1,6.4,8,1,7.3,8,1,7.5,8,1,8.4,8,1,8.6,8,1,8,8,1,8.1,8,1,9.4,8,1
Apr-81,12.4,8,1,10.9,8,1,12.7,8,1,13,8,1,11.8,8,1,11.6,8,1,13,8,1,11.2,8,1,11.8,8,1,12.1,8,1,12.7,8,1,12.6,8,1,12.4,8,1,12.7,8,1,13.6,8,1
