ダウンロードした時刻：2023/06/19 00:42:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,四国中央,四国中央,四国中央,新居浜,新居浜,新居浜,西条,西条,西条,今治,今治,今治,大三島,大三島,大三島,松山,松山,松山,久万,久万,久万,宇和,宇和,宇和,近永,近永,近永,宇和島,宇和島,宇和島,御荘,御荘,御荘
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,5.2,8,1,5.6,8,1,5.1,8,1,6.1,8,1,5.8,8,1,5.5,8,1,1.1,8,1,4,8,1,4.6,8,1,6.2,8,1,6.8,8,1
Feb-80,4.5,8,1,5,8,1,4.3,8,1,5.1,8,1,4.4,8,1,4.5,8,1,0,8,1,2.7,5,1,3.4,8,1,5.1,8,1,5.8,5,1
Mar-80,8.2,8,1,8.4,8,1,7.9,8,1,8.6,8,1,7.9,5,1,8.5,8,1,5.3,5,1,7.3,8,1,7.9,5,1,9.3,8,1,9.9,8,1
Apr-80,13.3,8,1,13.2,8,1,12.8,8,1,13,8,1,12.4,5,1,13.5,8,1,10.3,8,1,12.4,8,1,12.8,8,1,14,8,1,14.5,8,1
May-80,18.2,8,1,18.3,8,1,17.9,8,1,17.9,8,1,17.1,8,1,18.3,8,1,15.6,8,1,17.3,5,1,17.9,8,1,18.5,8,1,18.8,8,1
Jun-80,22.7,8,1,22.9,8,1,22.8,8,1,22.3,8,1,21.3,8,1,22.6,8,1,20.1,8,1,21.5,8,1,22.1,8,1,22.3,8,1,22.8,8,1
Jul-80,24.5,8,1,24.8,8,1,24.5,8,1,24.3,8,1,23.6,5,1,24.5,8,1,22.3,8,1,23.9,8,1,24.4,8,1,24.6,8,1,25,8,1
Aug-80,24.6,8,1,24.9,8,1,24.5,8,1,24.8,8,1,24.4,8,1,24.9,8,1,22.4,8,1,24.3,8,1,24.6,5,1,24.8,8,1,25.5,8,1
