ダウンロードした時刻：2023/06/19 00:44:12,,,,,,,,,,,,
,,,,,,,,,,,,
,佐賀,佐賀,佐賀,白石,白石,白石,嬉野,嬉野,嬉野,伊万里,伊万里,伊万里
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,5.6,8,1,4.8,8,1,3,5,1,4.9,8,1
Feb-80,4.5,8,1,3.6,8,1,3.1,8,1,3.7,8,1
Mar-80,9.8,8,1,8.8,8,1,8,8,1,8.4,8,1
Apr-80,14.2,8,1,13.3,8,1,12.4,8,1,12.9,8,1
May-80,19.2,8,1,18.1,8,1,17.4,8,1,17.6,8,1
Jun-80,23.5,8,1,22.9,8,1,21.9,8,1,22.2,8,1
Jul-80,25.4,8,1,25,8,1,24.2,8,1,24.6,8,1
Aug-80,25.5,8,1,24.7,8,1,23.8,8,1,24,8,1
Sep-80,22.5,8,1,21.3,8,1,20.5,8,1,21.1,8,1
Oct-80,18,8,1,16.8,8,1,16,8,1,16.7,8,1
Nov-80,13.2,8,1,11.8,8,1,11.1,8,1,11.8,8,1
Dec-80,5.4,8,1,4.6,8,1,4.1,8,1,5.1,8,1
Jan-81,3.2,8,1,2.4,8,1,1.9,8,1,2.6,8,1
Feb-81,5.7,8,1,4.7,8,1,4,8,1,4.7,8,1
Mar-81,10,8,1,9.1,8,1,8.4,8,1,8.9,8,1
Apr-81,14.5,8,1,13.6,8,1,13,8,1,13.4,8,1
May-81,18.1,8,1,17.2,8,1,16.3,8,1,17.1,8,1
Jun-81,23.2,8,1,22.5,8,1,21.5,8,1,21.8,8,1
Jul-81,27.9,8,1,27.5,8,1,26.5,8,1,27.4,8,1
Aug-81,27.1,8,1,26.3,8,1,25.4,5,1,26.2,8,1
Sep-81,22.7,8,1,21.7,8,1,20.8,8,1,21.6,8,1
Oct-81,17.4,8,1,16.1,8,1,15.4,8,1,16.4,8,1
Nov-81,10.8,8,1,9.9,8,1,9.2,8,1,10.2,8,1
Dec-81,6.8,8,1,5.7,8,1,5.3,8,1,6.5,8,1
Jan-82,4.7,8,1,3.9,8,1,3.3,8,1,4.5,8,1
Feb-82,6.2,8,1,5.3,8,1,4.5,8,1,5.5,8,1
Mar-82,10.5,8,1,9.5,8,1,8.8,8,1,9.6,8,1
Apr-82,14.3,8,1,13.3,8,1,12.8,8,1,13.1,8,1
May-82,20.4,8,1,19.6,8,1,18.8,8,1,19.5,8,1
Jun-82,22.7,8,1,21.8,8,1,20.6,8,1,21.2,8,1
Jul-82,24.9,8,1,24.4,8,1,23.4,8,1,24,8,1
Aug-82,27,8,1,26.2,8,1,25.3,8,1,26.1,8,1
Sep-82,22.6,8,1,21.7,8,1,20.7,8,1,21.5,8,1
Oct-82,18.4,8,1,17.2,8,1,16.5,8,1,17.4,8,1
Nov-82,14.2,8,1,13.2,8,1,12.4,8,1,13.5,8,1
Dec-82,7.4,8,1,6.4,8,1,5.8,8,1,7.2,8,1
Jan-83,5.7,8,1,4.5,8,1,4,8,1,5.1,8,1
Feb-83,5.5,8,1,4.5,8,1,3.7,8,1,4.7,8,1
Mar-83,10.1,8,1,9.3,8,1,8.3,8,1,9.2,8,1
Apr-83,16.1,8,1,15.4,8,1,14.6,8,1,15.2,8,1
May-83,19.9,8,1,18.9,8,1,18,8,1,18.3,8,1
Jun-83,22.9,8,1,22.1,8,1,20.9,8,1,21.2,8,1
Jul-83,26.5,8,1,26,8,1,24.9,8,1,25.7,8,1
Aug-83,28,8,1,27.2,5,1,26.1,8,1,26.9,8,1
Sep-83,24.5,8,1,23.7,8,1,22.8,8,1,23.7,8,1
