ダウンロードした時刻：2023/06/19 01:07:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,国見,国見,国見,豊後高田,豊後高田,豊後高田,中津,中津,中津,院内,院内,院内,日田,日田,日田,玖珠,玖珠,玖珠,湯布院,湯布院,湯布院,杵築,杵築,杵築,大分,大分,大分,犬飼,犬飼,犬飼,佐伯,佐伯,佐伯
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,5.3,8,1,4.9,8,1,4.7,8,1,3.8,8,1,4,8,1,2.1,8,1,1.8,8,1,4.7,8,1,5.9,8,1,4.2,8,1,5.9,8,1
Feb-80,4,8,1,3.5,8,1,3.7,8,1,2.5,8,1,2.7,8,1,0.9,8,1,0.5,8,1,3.4,8,1,4.8,8,1,2.9,8,1,5,8,1
Mar-80,8,8,1,8,8,1,8.1,8,1,7.1,8,1,8.3,8,1,6.5,8,1,5.9,8,1,7.9,8,1,8.8,8,1,7.9,8,1,9.3,8,1
Apr-80,12.7,8,1,13,8,1,12.5,8,1,11.7,8,1,13.1,8,1,11.1,8,1,10.4,8,1,12.4,8,1,13.4,8,1,12.6,8,1,13.7,8,1
May-80,17.6,5,1,17.6,5,1,17.7,8,1,17.2,8,1,18.4,8,1,16.7,8,1,16,8,1,17.1,8,1,18.4,8,1,17.5,5,1,18.4,8,1
Jun-80,21.7,8,1,22.2,8,1,22.3,8,1,21.9,8,1,23.1,8,1,21.6,8,1,20.7,8,1,21.4,8,1,22.7,8,1,22.5,8,1,22.1,8,1
Jul-80,23.7,5,1,23.7,8,1,23.9,8,1,23.4,8,1,24.7,8,1,23.4,8,1,22.5,8,1,23.3,8,1,24.5,8,1,24.3,5,1,24.3,8,1
Aug-80,24,8,1,23.9,8,1,24.1,8,1,23.3,8,1,24.7,8,1,23,8,1,22.2,8,1,23.6,8,1,24.7,8,1,24,8,1,24.3,8,1
