ダウンロードした時刻：2023/06/19 01:08:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,古江,古江,古江,高千穂,高千穂,高千穂,鞍岡,鞍岡,鞍岡,延岡,延岡,延岡,日向,日向,日向,神門,神門,神門,西米良,西米良,西米良,高鍋,高鍋,高鍋,西都,西都,西都,宮崎,宮崎,宮崎,小林,小林,小林,加久藤,加久藤,加久藤,都城,都城,都城,油津,油津,油津,串間,串間,串間
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-80,6.9,8,1,3.2,5,1,1.4,8,1,6.8,8,1,6.3,8,1,3.2,8,1,4.8,8,1,7.1,8,1,6.5,8,1,7.4,8,1,5.3,8,1,4.9,8,1,5.8,8,1,8.5,8,1,7.5,8,1
Feb-80,6,5,1,2.6,8,1,0.5,8,1,6,8,1,5.5,8,1,2.3,8,1,3.7,8,1,6,8,1,5.5,8,1,6.2,8,1,4.4,8,1,3.6,8,1,4.7,8,1,7.1,8,1,6.1,8,1
Mar-80,10.9,5,1,8,8,1,6.3,8,1,10.9,8,1,10.6,8,1,8.5,8,1,9.4,8,1,11.3,8,1,10.9,8,1,11.4,8,1,9.7,8,1,9.3,8,1,10.4,8,1,12.3,8,1,11.5,8,1
Apr-80,14.7,8,1,12.2,8,1,11,8,1,14.9,8,1,14.6,8,1,12.3,8,1,13,8,1,15.2,8,1,14.7,8,1,15.2,8,1,13.6,8,1,13.4,8,1,14.5,8,1,15.9,8,1,15.1,8,1
May-80,19.1,8,1,17,8,1,16,8,1,19.2,8,1,18.8,8,1,17.2,8,1,17.7,8,1,19.1,8,1,19.1,8,1,19.6,8,1,18.3,8,1,18.1,8,1,19.2,8,1,19.6,8,1,19.3,8,1
Jun-80,22.4,8,1,21.3,8,1,19.9,8,1,23.2,8,1,22.7,8,1,21.7,8,1,21.8,8,1,23,8,1,23,8,1,23.8,8,1,22.5,8,1,22.3,8,1,23.4,8,1,23.8,8,1,23.5,8,1
Jul-80,24.7,5,1,23.6,8,1,22.1,8,1,25.3,8,1,24.9,8,1,24.1,8,1,24.2,8,1,25.3,8,1,25.3,8,1,26.4,8,1,24.9,8,1,24.8,8,1,25.9,8,1,26.3,8,1,25.8,8,1
Aug-80,25.4,8,1,23.5,8,1,21.8,8,1,25.8,8,1,25.2,8,1,23.8,8,1,24.1,8,1,25.8,8,1,25.6,8,1,26.4,8,1,24.6,8,1,24.8,8,1,25.7,8,1,27,8,1,26,8,1
Sep-80,23.4,5,1,20.5,8,1,18.6,5,1,23.3,8,1,22.9,8,1,21,5,1,21.4,8,1,23.2,8,1,23.1,8,1,23.6,8,1,21.9,8,1,21.6,8,1,22.7,8,1,24,8,1,23.2,8,1
Oct-80,18.7,5,1,15.7,8,1,14,8,1,18.7,8,1,18.3,8,1,16,8,1,16.6,8,1,19,8,1,18.4,8,1,19.1,8,1,17.2,8,1,16.9,8,1,18.3,8,1,19.9,8,1,18.9,8,1
Nov-80,14.6,5,1,10.5,8,1,9.1,8,1,14.2,8,1,14,8,1,10.8,8,1,11.4,8,1,14.6,8,1,13.6,8,1,14.6,8,1,12.8,8,1,12.1,8,1,13.4,8,1,15.8,8,1,14.4,8,1
Dec-80,6.5,8,1,2.9,8,1,0.9,8,1,6.9,8,1,6.5,8,1,3,8,1,4,8,1,6.8,8,1,5.9,8,1,6.9,8,1,4.8,8,1,4.2,8,1,5,8,1,7.8,8,1,6.4,8,1
Jan-81,4.8,8,1,1.3,8,1,-1,8,1,5.2,8,1,4.8,8,1,1,5,1,2.5,8,1,5.1,8,1,4.6,8,1,5.4,8,1,3.3,8,1,2.6,5,1,3.5,8,1,6.4,8,1,5.2,8,1
Feb-81,7.2,8,1,4.2,8,1,2.4,8,1,7.5,8,1,7.2,8,1,4.8,8,1,5.7,8,1,7.7,8,1,7.5,8,1,8.3,8,1,6.2,8,1,5.7,8,1,6.9,8,1,9.3,8,1,8.2,8,1
Mar-81,10.9,8,1,8.1,8,1,6.5,5,1,11.2,8,1,11.1,8,1,8.2,8,1,8.9,8,1,10.5,4,1,11,8,1,11.6,8,1,9.6,8,1,9.3,8,1,10.3,8,1,12.4,8,1,11.4,8,1
Apr-81,15.4,8,1,13,8,1,11.3,8,1,15.7,8,1,15.5,8,1,13.1,8,1,13.8,8,1,16.3,4,1,15.8,8,1,16.5,8,1,14.4,8,1,13.7,8,1,15,8,1,16.7,8,1,15.9,8,1
